Category,Label,Value,Links,Citations
Designations,Pronunciation,/ ˈ m ɜːr k j ʊr i / ⓘ,https://en.wikipedia.org/wiki/Help:IPA/English,
Designations,Alternative names,"['Hermes', 'Apollo']","[None, None]","[None, None]"
Designations,Adjectives,"Mercurian / m ər ˈ k jʊər i ə n / , Mercurial / m ər ˈ k jʊər i ə l / , Hermean / h ɜːr ˈ m iː ə n /","https://en.wikipedia.org/wiki/Help:IPA/English, https://en.wikipedia.org/wiki/Help:IPA/English, https://en.wikipedia.org/wiki/Help:IPA/English","[1], [2]"
Orbital characteristics[3],Aphelion,0.466697 AU,,
Orbital characteristics[3],Perihelion,0.307499 AU,,
Orbital characteristics[3],Semi-major axis,0.387098 AU,,
Orbital characteristics[3],Eccentricity,0.205 630,,[4]
Orbital characteristics[3],Orbital period (sidereal),"['87.9691\xa0d', '0.240 846 yr', '0.5 Mercury synodic days']","[None, None, 'https://en.wikipedia.org/wiki/Synodic_day']","[None, None, None]"
Orbital characteristics[3],Orbital period (synodic),115.88 d,,[4]
Orbital characteristics[3],Averageorbital speed,47.36 km/s,,[4]
Orbital characteristics[3],Mean anomaly,174.796°,,
Orbital characteristics[3],Inclination,"['7.005° to ecliptic', ""3.38° to Sun 's equator"", '6.35° to invariable plane']","['https://en.wikipedia.org/wiki/Ecliptic', 'https://en.wikipedia.org/wiki/Sun, https://en.wikipedia.org/wiki/Equator', 'https://en.wikipedia.org/wiki/Invariable_plane']","[None, None, '[5]']"
Orbital characteristics[3],Longitude of ascending node,48.331°,,
Orbital characteristics[3],Argument of perihelion,29.124°,,
Orbital characteristics[3],Satellites,None,,
Physical characteristics,Mean radius,"['2,439.7 ± 1.0\xa0km', '0.3829 Earths']","[None, None]","['[6], [7]', None]"
Physical characteristics,Flattening,0.0009,,[4]
Physical characteristics,Surface area,"['7.48 × 10 7 km 2', '0.147 Earths']","[None, None]","['[6]', None]"
Physical characteristics,Volume,"['6.083 × 10 10 km 3', '0.056 Earths']","[None, None]","['[6]', None]"
Physical characteristics,Mass,"['3.3011 × 10 23 kg', '0.055 Earths']","[None, None]","['[8]', None]"
Physical characteristics,Meandensity,5.427 g/cm 3,,[6]
Physical characteristics,Surface gravity,3.7 m/s 2,,[6]
Physical characteristics,Moment of inertia factor,0.346 ± 0.014,,[9]
Physical characteristics,Escape velocity,4.25 km/s,,[6]
Physical characteristics,Synodic rotation period,176 d,,[10]
Physical characteristics,Sidereal rotation period,"['58.646\xa0d', '1 407 .5\xa0h']","[None, None]","[None, '[6]']"
Physical characteristics,Equatorial rotation velocity,3.026 m/s,,
Physical characteristics,Axial tilt,2.04 ′ ± 0.08 ′,,"[9], [4]"
Physical characteristics,North poleright ascension,"['18 h 44 m 2 s', '281.01°']","[None, None]","[None, '[4], [11]']"
Physical characteristics,North poledeclination,61.41°,,[11]
Physical characteristics,Albedo,"['0.088', '0.142']","['https://en.wikipedia.org/wiki/Bond_albedo', 'https://en.wikipedia.org/wiki/Geometric_albedo']","['[12]', '[13]']"
Physical characteristics,Temperature,437 K,https://en.wikipedia.org/wiki/Effective_temperature,[14]
Physical characteristics,Apparent magnitude,−2.48 to +7.25,,[16]
Physical characteristics,Absolute magnitude(H),−0.4,,[17]
Physical characteristics,Angular diameter,4.5–13″,,[4]
Atmosphere[4][18][19],Surfacepressure,trace,,
Atmosphere[4][18][19],Composition by volume,"['atomic oxygen', 'sodium', 'magnesium', 'atomic hydrogen', 'potassium', 'calcium', 'helium', 'Trace amounts of iron , aluminium , argon , dinitrogen , dioxygen , carbon dioxide , water vapor , xenon , krypton , and neon']","['https://en.wikipedia.org/wiki/Oxygen', 'https://en.wikipedia.org/wiki/Sodium', 'https://en.wikipedia.org/wiki/Magnesium', 'https://en.wikipedia.org/wiki/Hydrogen', 'https://en.wikipedia.org/wiki/Potassium', 'https://en.wikipedia.org/wiki/Calcium', 'https://en.wikipedia.org/wiki/Helium', 'https://en.wikipedia.org/wiki/Iron, https://en.wikipedia.org/wiki/Aluminium, https://en.wikipedia.org/wiki/Argon, https://en.wikipedia.org/wiki/Dinitrogen, https://en.wikipedia.org/wiki/Dioxygen, https://en.wikipedia.org/wiki/Carbon_dioxide, https://en.wikipedia.org/wiki/Water_vapor, https://en.wikipedia.org/wiki/Xenon, https://en.wikipedia.org/wiki/Krypton, https://en.wikipedia.org/wiki/Neon']","[None, None, None, None, None, None, None, None]"
